road,id,model_type,name,lat,lon,length
N1,1000969,link,link 752,21.4225549,92.0274438,70.99999999996953
N1,1000970,link,link 753,21.4220827,92.0278604,326.0000000000218
N1,1000971,link,link 754,21.4199716,92.0302493,265.9999999999627
N1,1000972,link,link 755,21.4191104,92.032416,449.0000000000123
N1,1000973,link,link 756,21.4165,92.0353052,182.00000000001637
N1,1000974,link,link 757,21.4156389,92.0367219,134.9999999999909
N1,1000975,link,link 758,21.4150556,92.037833,235.00000000001364
N1,1000976,link,link 759,21.4135833,92.0393886,367.00000000001864
N1,1000977,link,link 760,21.4120556,92.039583,171.99999999996862
N1,1000978,bridge,bridge 218,21.4115,92.0438052,48.00000000000182
N1,1000979,bridge,bridge 219,21.4111667,92.0441108,163.0000000000109
N1,1000980,link,link 761,21.4103056,92.0453052,57.00000000001637
N1,1000981,link,link 762,21.4101111,92.0458052,242.999999999995
N1,1000982,link,link 763,21.41025,92.0480552,324.99999999998863
N1,1000983,link,link 764,21.4103333,92.0508333,272.9999999999677
N1,1000984,link,link 765,21.4094167,92.0531944,180.00000000000682
N1,1000985,link,link 766,21.4090833,92.05475,210.00000000003638
N1,1000986,link,link 767,21.4079722,92.056,168.99999999998272
N1,1000987,link,link 768,21.4067222,92.0570556,293.00000000000637
N1,1000988,link,link 769,21.4058611,92.0594167,267.99999999997226
N1,1000989,link,link 770,21.4040556,92.0619722,157.0000000000391
N1,1000990,link,link 771,21.4039167,92.0628333,480.99999999999454
N1,1000991,link,link 772,21.4008889,92.0658611,262.9999999999768
N1,1000992,bridge,bridge 220,21.3986941,92.0665556,14.999999999986358
N1,1000993,bridge,bridge 221,21.398583,92.0665833,165.99999999999682
N1,1000994,link,link 773,21.3971663,92.0668882,19.000000000005457
N1,1000995,link,link 774,21.3969719,92.066916,435.0000000000023
N1,1000996,link,link 775,21.393333,92.068166,484.0000000000373
N1,1000997,bridge,bridge 222,21.3891108,92.0686938,17.99999999997226
N1,1000998,bridge,bridge 223,21.3889441,92.0688049,57.00000000001637
N1,1000999,link,link 776,21.3885274,92.0692771,147.9999999999677
N1,1001000,link,link 777,21.3873052,92.0697771,176.00000000004457
N1,1001001,link,link 778,21.3858886,92.0704438,152.99999999996317
N1,1001002,link,link 779,21.384583,92.0704993,76.00000000002183
N1,1001003,link,link 780,21.3839441,92.0705827,151.9999999999868
N1,1001004,link,link 781,21.3826938,92.0710271,168.00000000000637
N1,1001005,link,link 782,21.3813049,92.0710827,29.999999999972715
N1,1001006,link,link 783,21.3811104,92.0710827,179.00000000003047
N1,1001007,link,link 784,21.3796104,92.0706104,91.00000000000819
N1,1001008,link,link 785,21.378916,92.0703327,153.99999999999636
N1,1001009,link,link 786,21.3775827,92.0703604,38.99999999998727
N1,1001010,link,link 787,21.3773882,92.0706104,182.00000000001637
N1,1001011,link,link 788,21.3762216,92.0718049,164.99999999996362
N1,1001012,link,link 789,21.3752493,92.0727771,115.0000000000091
N1,1001013,link,link 790,21.3747771,92.0734993,64.99999999999773
N1,1001014,link,link 791,21.3745549,92.0739716,173.00000000000182
N1,1001015,link,link 792,21.3742493,92.0755271,16.000000000019554
N1,1001016,link,link 793,21.3742493,92.0756938,158.00000000001546
N1,1001017,link,link 794,21.3736938,92.0768327,82.99999999996999
N1,1001018,link,link 795,21.3731938,92.0773327,228.999999999985
N1,1001019,link,link 796,21.3714993,92.0785549,206.00000000001728
N1,1001020,link,link 797,21.3698327,92.0796104,262.00000000000045
N1,1001021,link,link 798,21.3678882,92.0803327,134.00000000001455
N1,1001022,link,link 799,21.3669438,92.0807771,84.00000000000318
N1,1001023,link,link 800,21.3662778,92.0810549,63.99999999996453
N1,1001024,link,link 801,21.3657222,92.0812771,151.00000000001046
N1,1001025,link,link 802,21.3644167,92.081416,341.0000000000082
N1,1001026,link,link 803,21.3615,92.0806382,427.99999999999727
N1,1001027,link,link 804,21.3580833,92.0790271,44.00000000003956
N1,1001028,link,link 805,21.35775,92.0790271,63.99999999996453
N1,1001029,link,link 806,21.3571944,92.0791104,96.00000000000364
N1,1001030,link,link 807,21.3563333,92.0790827,125.0
N1,1001031,link,link 808,21.35525,92.0790827,305.0000000000068
N1,1001032,link,link 809,21.3526667,92.0783327,416.99999999997317
N1,1001033,link,link 810,21.3490552,92.0784716,312.0000000000118
N1,1001034,bridge,bridge 224,21.3463608,92.0790271,26.00000000001046
N1,1001035,bridge,bridge 225,21.3461386,92.0789993,535.000000000025
N1,1001036,link,link 811,21.3414997,92.0788327,122.99999999999045
N1,1001037,link,link 812,21.3404997,92.0784993,267.99999999997226
N1,1001038,link,link 813,21.3381941,92.078916,657.0000000000391
N1,1001039,link,link 814,21.3324716,92.0790827,163.99999999998727
N1,1001040,link,link 815,21.3311104,92.0788604,158.00000000001546
N1,1001041,bridge,bridge 226,21.3297771,92.0787771,31.999999999982265
N1,1001042,bridge,bridge 227,21.3295271,92.0789438,829.0000000000077
N1,1001043,link,link 816,21.324666,92.084583,105.99999999999454
N1,1001044,bridge,bridge 228,21.3241104,92.085333,55.00000000000682
N1,1001045,bridge,bridge 229,21.3238049,92.0857219,509.9999999999909
N1,1001046,link,link 817,21.3207493,92.0893052,336.9999999999891
N1,1001047,link,link 818,21.3187493,92.0916108,115.0000000000091
N1,1001048,bridge,bridge 230,21.3179438,92.0921663,19.99999999998181
N1,1001049,bridge,bridge 231,21.3177771,92.0922497,81.99999999999363
N1,1001050,link,link 819,21.317666,92.0930274,713.0000000000223
N1,1001051,bridge,bridge 232,21.3125,92.096333,52.00000000002092
N1,1001052,bridge,bridge 233,21.3121944,92.0966941,24.00000000000091
N1,1001053,link,link 820,21.3120278,92.0969163,219.99999999997044
N1,1001054,link,link 821,21.3101667,92.0974997,759.9999999999909
N1,1001055,link,link 822,21.3039722,92.0967497,23.000000000024556
N1,1001056,link,link 823,21.3037778,92.0968052,555.0000000000068
N1,1001057,link,link 824,21.2989441,92.0976108,425.9999999999877
N1,1001058,bridge,bridge 234,21.2956386,92.0993886,74.00000000001228
N1,1001059,bridge,bridge 235,21.2949997,92.0993886,7.999999999981355
N1,1001060,link,link 825,21.2949163,92.0994163,963.9999999999986
N1,1001061,link,link 826,21.2863608,92.1001667,274.99999999997726
N1,1001062,link,link 827,21.2839441,92.1005278,136.0000000000241
N1,1001063,bridge,bridge 236,21.282777512080536,92.10067986442952,12.999999999976808
N1,1001064,bridge,bridge 237,21.282666,92.1006944,427.99999999999727
N1,1001065,link,link 828,21.2790827,92.1019722,168.00000000000637
N1,1001066,link,link 829,21.277666,92.1026111,996.0000000000377
N1,1001067,link,link 830,21.2695827,92.1066111,14.999999999986358
N1,1001068,link,link 831,21.2694716,92.1066667,291.99999999997317
N1,1001069,bridge,bridge 238,21.2678604,92.1088333,26.00000000001046
N1,1001070,bridge,bridge 239,21.2677493,92.109,581.0000000000173
N1,1001071,link,link 832,21.2646111,92.1134444,89.99999999997499
N1,1001072,link,link 833,21.2641111,92.1140833,14.000000000010004
N1,1001073,bridge,bridge 240,21.2639722,92.1141944,45.000000000015916
N1,1001074,bridge,bridge 241,21.2637222,92.1144722,233.99999999998045
N1,1001075,bridge,bridge 242,21.2623611,92.1161667,18.000000000029104
N1,1001076,bridge,bridge 243,21.26225,92.1163056,714.999999999975
N1,1001077,link,link 834,21.2580278,92.1214438,223.99999999998954
N1,1001078,bridge,bridge 244,21.2565556,92.122916,13.000000000033651
N1,1001079,bridge,bridge 245,21.2565,92.1229716,238.9999999999759
N1,1001080,link,link 835,21.2550278,92.1245827,250.0
N1,1001081,link,link 836,21.2537778,92.1266382,276.00000000001046
N1,1001082,link,link 837,21.2521944,92.1286104,16.999999999995907
N1,1001083,link,link 838,21.2521111,92.1287493,120.00000000000455
N1,1001084,bridge,bridge 246,21.2504722,92.1307493,89.99999999997499
