road,model_type,name,lat,lon,length,condition,start_km,end_km,id
N1,link,Bridge start,23.5837497,90.6369441,126.00000000000122,,27.503,27.629,1000142
N1,link,Km post missing,23.5828327,90.6378886,38.999999999997925,,27.629,27.668,1000143
N1,link,Bridge end,23.5825827,90.6381386,560.3750000000005,,27.668,28.228375,1000144
N1,bridge,Bhater char Bridge (R),23.5779800248475,90.6419193089939,173.25,A,28.228375,28.401625000000003,1000145
N1,bridge,Bhater char Bridge (L),23.5779800248475,90.6419193089939,172.1,A,28.22895,28.40105,1000146
N1,bridge,BHATIR CHAR BRIDGE,23.5779800248475,90.6419193089939,163.5,A,28.23325,28.39675,1000147
N1,link,Bridge end,23.5776104,90.6421108,357.37499999999756,,28.401625000000003,28.759,1000148
N1,link,Information missing,23.5745271,90.6436941,307.99999999999983,,28.759,29.067,1000149
N1,link,Bridge start,23.572166,90.6451108,45.999999999999375,,29.067,29.113,1000150
N1,link,Bridge end,23.5718327,90.6453052,10.0750000000005,,29.113,29.123075,1000151
N1,bridge,Anarpara Bridge (L),23.5716306256965,90.6454159236842,29.85,A,29.123075,29.152925000000003,1000152
N1,bridge,Anarpara Bridge (R),23.5716306256965,90.6454159236842,29.77,A,29.123115000000002,29.152885,1000153
N1,bridge,ANARPUR BRIDGE(R),23.5716306256965,90.6454159236842,29.0,A,29.1235,29.152500000000003,1000154
N1,bridge,ANAR PURA BRIDGE(L),23.5716306256965,90.6454159236842,29.0,A,29.1235,29.152500000000003,1000155
N1,link,Bridge end,23.5718327,90.6453052,606.0749999999971,,29.152925000000003,29.759,1000156
N1,link,Km post missing,23.5666111,90.6481663,65.64999999999799,,29.759,29.82465,1000157
N1,bridge,VITIKANDA - ANAR PUR CULVERT,23.5660033956521,90.6486237247282,34.7,A,29.82465,29.85935,1000158
N1,link,Km post missing,23.5666111,90.6481663,267.64999999999975,,29.85935,30.127,1000159
N1,link,Bridge start,23.5639167,90.6501944,38.000000000000256,,30.127,30.165,1000160
N1,link,Bridge end,23.5636944,90.6504722,532.0,,30.165,30.697,1000161
N1,link,Bridge start,23.5604167,90.6542222,38.000000000000256,,30.697,30.735,1000162
N1,link,Bridge end,23.5602222,90.6545,39.00000000000148,,30.735,30.774,1000163
N1,link,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,120.3000000000003,,30.774,30.8943,1000164
N1,bridge,Alipur bridge(R),23.5591910296296,90.6557475703703,27.4,A,30.8943,30.9217,1000165
N1,bridge,Alipur bridge(L),23.5591910296296,90.6557475703703,27.4,A,30.8943,30.9217,1000166
N1,bridge,ALIPURA BRIDGE (LEFT),23.5591910296296,90.6557475703703,26.3,B,30.89485,30.92115,1000167
N1,bridge,ALI PURA P.C BRIDGE (RIGHT),23.5591910296296,90.6557475703703,26.3,A,30.89485,30.92115,1000168
N1,link,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,14.299999999998647,,30.9217,30.936,1000169
N1,link,Road to Gazara (Z1063),23.5590278,90.6559444,411.99999999999903,,30.936,31.348,1000170
N1,link,Bridge start,23.5564444,90.6588611,40.0000000000027,,31.348,31.388,1000171
N1,link,Bridge end,23.5562222,90.6591389,69.074999999998,,31.388,31.457075,1000172
N1,bridge,Bhaber char Bridge(R),23.5557082901265,90.6597414245569,29.85,A,31.457075,31.486925000000003,1000173
N1,bridge,Bhaber char Bridge(L),23.5557082901265,90.6597414245569,29.83,A,31.457085000000003,31.486915,1000174
N1,bridge,VOBAR CHAR BRIDGE(R),23.5557082901265,90.6597414245569,29.0,A,31.4575,31.486500000000003,1000175
N1,bridge,VOBAR CHAR (L),23.5557082901265,90.6597414245569,29.0,A,31.4575,31.486500000000003,1000176
