,truck_id,bridge_id,bridge_condition,bridge_length,start_time,end_time,wait_duration
20320,Truck71570,1002338,C,1.2,6190,6202.039377564283,12.039377564283011
20321,Truck71588,1002154,D,15.4,6190,6231.944389817441,41.9443898174409
20322,Truck71600,1002088,C,8.5,6190,6205.6780821583925,15.67808215839257
20323,Truck71628,1002032,D,61.3,6190,6263.441789955019,73.44178995501869
20324,Truck71562,1002590,C,37.6,6191,6242.5483075241145,51.54830752411464
20325,Truck71713,1001058,C,914.0,6191,6267.716475448936,76.71647544893628
20326,Truck71547,1002338,C,1.2,6192,6210.414840549515,18.414840549514913
20327,Truck71586,1002248,C,1.2,6192,6208.878176681471,16.878176681470638
20328,Truck71587,1002154,D,15.4,6192,6220.133290145773,28.13329014577264
20329,Truck71603,1002154,D,15.4,6192,6216.241477735273,24.24147773527342
20330,Truck71621,1002032,D,61.3,6192,6254.598855540688,62.59885554068853
20331,Truck71669,1001468,C,56.2,6192,6240.585516270982,48.58551627098183
20332,Truck71591,1002116,C,2.1,6193,6204.459067069968,11.459067069968151
20333,Truck71674,1001468,C,56.2,6193,6252.332396637774,59.33239663777378
20334,Truck71675,1001468,C,56.2,6193,6246.499693093231,53.49969309323082
20335,Truck71784,1000267,C,4.5,6193,6207.8844942098995,14.884494209899355
20336,Truck71735,1000935,C,27.0,6194,6221.863170490847,27.86317049084635
20337,Truck71769,1000393,C,27.35,6194,6217.739739839066,23.739739839065482
20338,Truck71599,1002114,C,10.9,6196,6217.927664848562,21.927664848562266
20339,Truck71626,1002032,D,61.3,6196,6273.188933893105,77.18893389310546
20340,Truck71627,1002032,D,61.3,6196,6245.963418926163,49.96341892616334
20341,Truck71684,1001468,C,56.2,6196,6256.9649871128395,60.96498711283959
20342,Truck71770,1000393,C,27.35,6197,6225.584268468728,28.58426846872795
20343,Truck71583,1002154,D,15.4,6198,6223.747555052685,25.747555052684955
20344,Truck71611,1002032,D,61.3,6198,6261.169275595689,63.16927559568923
20345,Truck71655,1001495,C,45.0,6198,6256.816158962116,58.8161589621159
20346,Truck71785,1000267,C,4.5,6198,6214.3268957662285,16.326895766228837
20347,Truck71548,1002689,C,37.3,6199,6236.313245796552,37.31324579655214
20348,Truck71580,1002116,C,2.1,6199,6210.960935476571,11.960935476570853
20349,Truck71581,1002277,D,7.9,6199,6210.017594101785,11.017594101784859
20350,Truck71589,1002248,C,1.2,6199,6215.755658094626,16.755658094625403
20351,Truck71614,1002114,C,10.9,6199,6219.463686257352,20.463686257351224
20352,Truck71723,1001058,C,914.0,6199,6276.6511796080795,77.65117960807956
20353,Truck71594,1002154,D,15.4,6200,6216.190675631031,16.190675631030793
20354,Truck71542,1002689,C,37.3,6201,6239.4087012122245,38.40870121222493
20355,Truck71608,1002114,C,10.9,6201,6225.705155653605,24.70515565360573
20356,Truck71617,1002032,D,61.3,6201,6266.31366649513,65.31366649512971
20357,Truck71605,1002088,C,8.5,6202,6216.33949593449,14.339495934489994
20358,Truck71636,1001887,C,22.0,6202,6227.627351706897,25.62735170689652
20359,Truck71554,1002590,C,37.6,6203,6232.499283035531,29.499283035531004
20360,Truck71771,1000393,C,27.35,6203,6223.607397224927,20.60739722492651
20361,Truck71786,1000267,C,4.5,6203,6222.927641556879,19.927641556879315
20362,Truck71575,1002277,D,7.9,6204,6217.934227999673,13.9342279996728
20363,Truck71615,1002088,C,8.5,6204,6216.686586759629,12.68658675962866
20364,Truck71625,1002032,D,61.3,6204,6281.4416424943975,77.44164249439775
20365,Truck71646,1001887,C,22.0,6204,6239.354398468317,35.354398468316965
20366,Truck71650,1001495,C,45.0,6204,6263.025276734233,59.02527673423246
20367,Truck71724,1001058,C,914.0,6204,6337.772508561177,133.77250856117712
20368,Truck71738,1000935,C,27.0,6204,6224.8050527521555,20.805052752155106
20369,Truck71534,1002689,C,37.3,6205,6252.054523512692,47.05452351269213
20370,Truck71584,1002277,D,7.9,6205,6224.073906571892,19.07390657189155
20371,Truck71569,1002586,D,2.7,6206,6225.993555150249,19.99355515024905
20372,Truck71592,1002116,C,2.1,6206,6218.866009991852,12.866009991851772
20373,Truck71720,1001058,C,914.0,6206,6352.80557178174,146.8055717817394
20374,Truck71564,1002586,D,2.7,6207,6221.106717484797,14.106717484797151
20375,Truck71604,1002154,D,15.4,6207,6265.732561713023,58.73256171302229
20376,Truck71610,1002154,D,15.4,6207,6255.530605798791,48.53060579879081
20377,Truck71772,1000393,C,27.35,6207,6255.0062254805725,48.00622548057213
20378,Truck71773,1000393,C,27.35,6207,6222.760473035436,15.7604730354361
20379,Truck71565,1002338,C,1.2,6208,6224.565136692184,16.565136692183742
20380,Truck71579,1002338,C,1.2,6208,6222.032528016333,14.03252801633353
20381,Truck71601,1002116,C,2.1,6208,6227.903526781981,19.903526781980588
20382,Truck71606,1002088,C,8.5,6208,6223.234066041353,15.234066041352712
20383,Truck71787,1000267,C,4.5,6208,6227.3949973315275,19.39499733152747
20384,Truck71585,1002116,C,2.1,6209,6220.5190577135245,11.519057713524889
20385,Truck71590,1002116,C,2.1,6209,6221.756355733564,12.756355733564083
20386,Truck71591,1002154,D,15.4,6209,6251.576334772038,42.576334772037654
20387,Truck71635,1002032,D,61.3,6209,6281.855094082637,72.85509408263754
20388,Truck71533,1002689,C,37.3,6210,6240.087475553672,30.087475553672693
20389,Truck71639,1002032,D,61.3,6210,6277.175153887115,67.17515388711448
20390,Truck71737,1000935,C,27.0,6210,6233.871165173393,23.87116517339299
20391,Truck71573,1002338,C,1.2,6211,6222.197757346347,11.197757346347258
20392,Truck71586,1002277,D,7.9,6211,6226.0617649309725,15.06176493097243
20393,Truck71607,1002114,C,10.9,6211,6235.9132495016,24.913249501600465
20394,Truck71673,1001495,C,45.0,6211,6232.6609190252375,21.660919025237348
20395,Truck71581,1002296,C,13.0,6212,6231.718342739238,19.71834273923838
20396,Truck71602,1002116,C,2.1,6212,6231.917759463789,19.917759463788503
20397,Truck71609,1002116,C,2.1,6212,6231.674733888673,19.674733888672705
20398,Truck71722,1001058,C,914.0,6212,6350.608172297313,138.60817229731288
20399,Truck71774,1000393,C,27.35,6212,6239.758653832152,27.758653832151598
20400,Truck71600,1002114,C,10.9,6213,6253.042606972502,40.04260697250154
20401,Truck71740,1000935,C,27.0,6213,6261.639312241958,48.63931224195729
20402,Truck71788,1000267,C,4.5,6213,6226.058831556319,13.0588315563191
20403,Truck71576,1002586,D,2.7,6214,6228.025101135497,14.02510113549669
20404,Truck71663,1001495,C,45.0,6214,6246.7655279337205,32.76552793372038
20405,Truck71736,1000935,C,27.0,6214,6245.941043438751,31.941043438750576
20406,Truck71580,1002154,D,15.4,6215,6246.643769964611,31.64376996461153
20407,Truck71556,1002586,D,2.7,6216,6226.987108678091,10.987108678091642
20408,Truck71557,1002338,C,1.2,6216,6235.505167634511,19.505167634510705
20409,Truck71559,1002689,C,37.3,6216,6252.197102742793,36.197102742792936
20410,Truck71658,1001495,C,45.0,6216,6240.737654981984,24.73765498198418
20411,Truck71668,1001468,C,56.2,6216,6290.785717721834,74.78571772183427
20412,Truck71595,1002116,C,2.1,6217,6228.889522647658,11.88952264765819
20413,Truck71629,1002032,D,61.3,6217,6272.706703596136,55.70670359613614
20414,Truck71589,1002277,D,7.9,6218,6235.223132898501,17.223132898500708
20415,Truck71596,1002116,C,2.1,6218,6231.546820424267,13.54682042426693
20416,Truck71599,1002116,C,2.1,6218,6233.400281702502,15.40028170250162
20417,Truck71631,1001887,C,22.0,6218,6276.0080784131105,58.00807841311053
